city_id	city_name	state_code	country_code	lat	lon
587261	Amirdzhan	9	AZ	40.42639	49.98361
587361	Aghsu	6	AZ	40.57028	48.40087
587378	Ağdaş	4	AZ	40.64699	47.4738
587384	Agdzhabedy	2	AZ	40.05015	47.45937
824003	Bakıxanov	9	AZ	40.41894	49.96693
3186573	Zenica	1	BA	44.20169	17.90397
3187609	Visoko	1	BA	43.98889	18.17806
3188225	Velika Kladuša	1	BA	45.18497	15.80579
3188582	Tuzla	1	BA	44.53842	18.66709
3188893	Trebinje	2	BA	42.71197	18.34362
3188924	Travnik	1	BA	44.22637	17.66583
3191281	Sarajevo	1	BA	43.84864	18.35644
3192409	Prijedor	2	BA	44.97991	16.71401
3194828	Mostar	1	BA	43.34333	17.80806
3199744	Gradačac	1	BA	44.87851	18.42764
3199779	Gračanica	1	BA	44.70307	18.3101
2967318	Wittenheim	44	FR	47.8078	7.33702
1185183	Lākshām	84	BD	23.24018	91.12143
3200396	Goražde	1	BA	43.66795	18.97564
3201984	Doboj	2	BA	44.73179	18.08698
2989204	Orsay	11	FR	48.69572	2.18727
3202822	Cazin	1	BA	44.96694	15.94306
3203099	Bugojno	1	BA	44.05722	17.45083
3203521	Brčko	BRC	BA	44.86995	18.81012
3203653	Bosanska Krupa	1	BA	44.8825	16.15139
3204186	Bijeljina	2	BA	44.75874	19.21437
3204222	Bihać	1	BA	44.81694	15.87083
3204541	Banja Luka	2	BA	44.77842	17.19386
1185186	Comilla	84	BD	23.46186	91.18503
3337476	Konjic	1	BA	43.65126	17.96082
3374036	Bridgetown	8	BB	13.10732	-59.62021
1185092	Thākurgaon	87	BD	26.03097	88.46989
1185095	Teknāf	84	BD	20.85829	92.29773
1185098	Tungi	81	BD	23.89154	90.40232
1185099	Sylhet	86	BD	24.89904	91.87198
1185100	Dohār	81	BD	23.59311	90.14251
1185106	Jamālpur	H	BD	24.91965	89.94812
1185108	Shibganj	83	BD	24.68501	88.15638
